Time RV eRV BIS FWHM Contrast
53981.71198948 -6.62922181 0.44646116 -57.45555854 6728.24414891 53.45894437
53982.69165808 -1.19552686 0.74985603 -59.84472467 6733.43862591 53.42955776
53982.69420895 -1.07577807 0.74333482 -60.25313723 6736.13226113 53.42697598
53982.69666444 -0.46519182 0.78452943 -58.84166043 6727.42306738 53.43593347
53982.69929588 -2.06527041 0.72806701 -54.40968638 6727.51000895 53.44625319
54292.81285717 -0.74972660 0.35307593 -53.87640777 6729.78254595 53.37822339
54292.81812583 0.03679372 0.35691939 -56.16573394 6729.92041778 53.36514493
54315.72858398 -0.87743617 0.83876777 -56.34236664 6726.09566310 53.45950345
54315.73356466 -2.06658755 0.89552486 -58.32723182 6732.11707474 53.42841941
54953.91585223 -4.59078018 0.43402166 -59.59562482 6726.51884619 53.44503684
54953.91943019 -3.17144919 0.42989206 -60.14112883 6725.83481222 53.44058759
54953.92301071 -3.91761420 0.44628840 -58.75380083 6726.03050917 53.43984944
54954.85529728 -3.44724431 0.36087425 -59.42167441 6725.05145237 53.44040822
54954.85903764 -3.66448564 0.36784265 -60.21398873 6723.67613161 53.45297751
54954.86258981 -3.71126372 0.35320308 -59.87228533 6726.43517576 53.45377217
54955.84208672 -2.64881735 0.44058291 -60.24356489 6728.39533916 53.43473963
54955.84577662 -2.50167028 0.45699450 -59.32603424 6726.98487241 53.43185305
54955.84955610 -2.61430621 0.77923569 -59.17583162 6725.22775804 53.43147441
54956.89655549 -2.40525322 0.52241911 -56.61036797 6725.11413768 53.43038651
54956.90011968 -1.09398932 0.46723768 -59.07678356 6725.76133601 53.43684345
54956.90374290 -2.70915013 0.45609713 -58.18327319 6725.56210156 53.43353800
54988.88346379 0.93305426 0.38089100 -55.04448998 6725.77881921 53.41552473
54988.88888974 1.08728049 0.40539089 -55.83998413 6724.08478664 53.42758360
54989.87829056 0.32898592 0.29035180 -55.14097356 6722.73197664 53.45502382
54989.88397682 -0.25808068 0.31698459 -56.53683395 6724.38997865 53.42750729
54991.89043558 -1.65269964 0.38897408 -58.26371649 6727.47820966 53.40487248
54991.89590874 -2.58133490 0.39452787 -58.35871608 6723.19819895 53.43000504
54993.90229911 -6.09603641 0.26774746 -58.94946095 6723.48123445 53.44883239
54994.87960596 -3.83688729 0.40489610 -58.63832159 6728.36094082 53.43214460
54994.88523109 -4.67654486 0.39427343 -57.70612035 6729.57207562 53.43097119
55001.87692761 2.18736053 0.38716537 -61.90181120 6730.41609906 53.43833609
55001.88229713 2.49492844 0.40039873 -59.17929025 6733.48728648 53.43272303
55021.88213762 -1.07655777 0.48470851 -57.15503031 6733.47807979 53.35023485
55021.88541117 -0.60760914 0.49219137 -58.85057892 6734.78655950 53.34276502
55021.88865127 1.00208495 0.48764679 -57.39101291 6733.82370801 53.35287248
55023.87155383 -1.31979390 0.78093002 -53.19543331 6733.68323944 53.35255937
55023.87525935 -1.89624156 0.81630447 -58.33658871 6737.02745894 53.34422654
55023.87906627 -0.62851606 0.72618688 -54.06546811 6737.32693167 53.35593812
55023.89420186 -2.68621442 0.61575821 -56.62971850 6734.69353273 53.35278831
